dijkstras,Distance,Time,Operations
1,17.681541692269406,0.014071101,181
2,10.722900958004928,8.0934E-4,436
3,29.71919880386629,7.45504E-4,626
4,8.486832980505138,9.54678E-4,183
5,11.206555615733702,9.95146E-4,281
6,22.34988840796518,5.60268E-4,477
7,11.806248474865697,0.005122775,143
8,BROKE,7.11876E-4,641
9,15.408488911403701,0.001476188,377
10,13.035668847618199,0.001113696,211
11,18.72308292331602,4.82184E-4,368
12,28.069234727320424,0.006626321,364
13,7.246211251235321,6.06434E-4,62
14,17.843766846610826,8.05349E-4,307
15,22.08679276123039,6.33223E-4,182
16,23.40175425099138,6.34932E-4,464
17,15.373380211096357,3.00937E-4,192
18,23.0,7.15866E-4,275
19,4.0,2.13734E-4,64
20,20.37755832643195,0.0010567,469
21,23.839484696748443,0.005344488,575
22,32.967705148325464,3.52234E-4,399
23,18.6479655022267,0.001121675,336
24,15.643316977093239,7.8825E-4,217
25,11.041594578792296,2.6674E-4,185
26,12.039532407520593,1.98916E-4,111
27,5.082762530298219,0.001183801,278
28,18.35917360311745,0.005219667,410
29,21.447115268178642,6.41201E-4,482
30,9.099019513592784,7.61463E-4,308
31,31.674282222822757,3.69332E-4,494
32,14.524174696260024,2.38242E-4,221
33,7.062257748298549,5.47159E-4,30
34,20.96394521819827,5.16381E-4,469
35,21.0,0.001822722,335
36,15.763748168903824,0.004365871,361
37,28.952265660739798,0.006695856,676
38,BROKE,8.52085E-4,712
39,16.038404810405297,0.001644326,282
40,4.830951894845301,9.51828E-4,272
41,4.385164807134504,7.48924E-4,86
42,37.091928695123684,2.39952E-4,651
43,15.643316977093239,5.16951E-4,184
44,11.084925779295894,6.91928E-4,303
45,14.0137904986624,1.23111E-4,429
46,23.82531236253876,1.60158E-4,349
47,29.844350890410592,0.001882569,239
48,7.4852813742385695,6.97628E-4,248
49,11.041594578792296,1.47619E-4,151
50,22.25986401912843,6.14983E-4,426
51,20.540659228538015,9.2618E-4,307
52,28.235009779819187,9.82606E-4,688
53,6.810249675906654,6.31513E-4,90
54,18.66562126173752,0.001274994,377
55,19.808652046684813,6.36642E-4,207
56,11.68372892345421,1.98915E-4,316
57,30.890205288962445,1.55029E-4,519
58,25.419689627245813,6.45761E-4,216
59,18.85330247695887,8.97112E-4,325
60,14.273360299226528,0.004006228,301
61,28.317223069095096,1.53888E-4,185
62,16.4928556845359,7.59752E-4,184
63,8.433981132056603,1.3736E-4,90
64,19.14213562373095,5.38609E-4,472
65,21.589815341219758,2.26273E-4,296
66,BROKE,1.3337E-4,543
67,8.219544457292887,1.11142E-4,61
68,22.021728866442675,1.87516E-4,278
69,29.193281437916383,1.49328E-4,461
70,26.80287754891569,1.2767E-4,433
71,32.301651610693426,1.96065E-4,565
72,18.53969922789764,0.001265305,510
73,10.752245844280097,0.001217998,360
74,7.602325267042627,6.36643E-4,277
75,18.61577310586391,8.25868E-4,433
76,26.459060435491963,1.3394E-4,561
77,32.04264557971558,4.21768E-4,478
78,27.65863337187866,2.656E-4,413
79,27.297058540778355,0.008711224,558
80,9.770329614269007,1.06582E-4,154
81,15.492422502470642,9.42139E-4,274
82,4.830951894845301,6.46332E-4,62
83,BROKE,1.80106E-4,678
84,7.4852813742385695,1.00312E-4,58
85,27.0178514522438,1.17981E-4,535
86,11.083045973594572,9.6893E-5,121
87,29.047938410853313,1.19691E-4,649
88,15.552945357246848,1.21401E-4,342
89,27.6896920245735,0.00159132,642
90,15.045361017187261,4.34307E-4,578
91,18.4164878389476,3.88141E-4,89
92,24.03642624778817,1.19691E-4,443
93,9.885661164744507,1.45339E-4,190
94,14.811388300841896,1.55029E-4,57
95,6.615773105863909,2.33113E-4,158
96,12.293865081226198,1.12852E-4,184
97,17.45118306883873,1.39069E-4,256
98,37.967886415253965,1.48759E-4,853
99,26.498147347161837,1.06012E-4,419
100,7.944271909999159,3.9954E-4,287
Averages:,=AVERAGE(B2:B101),=AVERAGE(C2:C101),=AVERAGE(D2:D101)
Path Not Found:,"=COUNTIF(B2:B101, "=BROKE")"